IA,T1aN0M0,0.037037
IA,T1bN0M0,0.074074
IB,T2aN0M0,0.111111
IIA,T2bN0M0,0.148148
IIA,T1aN1M0,0.185185
IIA,T1bN1M0,0.222222
IIA,T2aN1M0,0.259259
IIB,T2bN1M0,0.296296
IIB,T3N0M0,0.333333
IIIA,T1aN2M0,0.355555
IIIA,T1bN2M0,0.377777
IIIA,T2aN2M0,0.4
IIIA,T1bN2M0,0.422222
IIIA,T3N1M0,0.444444
IIIA,T3N2M0,0.466666
IIIA,T4N0M0,0.488889
IIIA,T4N1M0,0.511111
IIIB,T1aN3M0,0.533333
IIIB,T1bN3M0,0.555556
IIIB,T2aN3M0,0.577778
IIIB,T2bN3M0,0.6
IIIB,T3N3M0,0.622222
IIIB,T4N2M0,0.644444
IIIB,T4N3M0,0.666667
IV,TNM1a,0.833333
IV,TNM1b,1.00
nil,nil,1.01
